recno,Star,S/N,pop,[CuI/Fe],e_[CuI/Fe],o_[CuI/Fe],[ZnI/Fe],e_[ZnI/Fe],o_[ZnI/Fe],[SrI/Fe],e_[SrI/Fe],o_[SrI/Fe],[YII/Fe],e_[YII/Fe],o_[YII/Fe],[ZrI/Fe],e_[ZrI/Fe],o_[ZrI/Fe],[ZrII/Fe],e_[ZrII/Fe],o_[ZrII/Fe],[BaII/Fe],e_[BaII/Fe],o_[BaII/Fe],[CeII/Fe],e_[CeII/Fe],o_[CeII/Fe],[NdII/Fe],e_[NdII/Fe],o_[NdII/Fe],[EuII/Fe],e_[EuII/Fe],o_[EuII/Fe],[AlI/Fe],e_[AlI/Fe],o_[AlI/Fe],[MgI/Fe],e_[MgI/Fe],o_[MgI/Fe],[SiI/Fe],e_[SiI/Fe],o_[SiI/Fe],[CaI/Fe],e_[CaI/Fe],o_[CaI/Fe],[TiI/Fe],e_[TiI/Fe],o_[TiI/Fe],[TiII/Fe],e_[TiII/Fe],o_[TiII/Fe]
1,"  HIP38324",150," thin",-0.03,0.16,3,-0.12,0.12,2,0.03,0.24,1,-0.01,0.23,6,0.03,0.2,2,-0.12,0.2,1,-0.09,0.12,2,-0.24,0.18,1,,,0,,,0,0.17,0.03,2,-0.08,0.05,3,0.06,0.1,14,0.04,0.17,12,0.08,0.16,22,0.07,0.11,5
2,"   HD85512",419,"thick",0.14,0.09,3,0.03,0.08,2,-0.12,0.09,1,0.27,0.23,6,0.06,0.09,2,0.14,0.11,1,-0.21,0.1,2,-0.12,0.21,2,,,0,0.49,0.08,1,0.22,0.03,2,0.12,0.16,3,0.28,0.14,14,-0.07,0.14,12,0.08,0.16,22,0.28,0.06,5
3,"  HD192961",186," thin",0.05,0.15,3,0.0,0.15,2,-0.1,0.17,1,-0.08,0.23,6,0.04,0.14,2,0.02,0.18,1,-0.1,0.18,2,-0.11,0.2,2,,,0,,,0,0.07,0.02,2,-0.22,0.31,3,0.15,0.12,14,-0.07,0.14,12,0.03,0.16,22,0.15,0.08,5
4,"  HD218511",235," thin",0.08,0.1,3,-0.02,0.09,2,-0.02,0.21,1,0.09,0.23,6,0.17,0.16,2,0.11,0.14,1,-0.11,0.11,2,0.01,0.16,2,,,0,0.33,0.14,1,0.03,0.04,2,-0.21,0.17,3,0.22,0.12,14,-0.19,0.16,12,-0.07,0.18,22,0.3,0.23,5
5,"  HIP25612",141,"thick",0.05,0.19,3,-0.12,0.15,2,0.08,0.22,1,0.12,0.22,6,0.26,0.19,2,0.44,0.19,1,-0.08,0.12,2,0.14,0.18,1,,,0,,,0,0.19,0.05,2,0.06,0.11,3,0.22,0.14,14,0.12,0.16,12,0.14,0.15,22,0.31,0.09,5
6,"  HIP39470",212," thin",-0.09,0.16,3,-0.16,0.09,2,0.16,0.16,1,0.03,0.13,6,0.27,0.15,2,0.04,0.14,1,0.04,0.06,2,0.01,0.24,2,,,0,0.25,0.19,1,-0.09,0.08,2,-0.3,0.21,3,0.06,0.14,13,-0.05,0.19,12,0.06,0.15,22,0.08,0.2,5
7,"  HIP59925",122," thin",-0.21,0.09,3,-0.12,0.08,2,0.13,0.19,1,-0.03,0.15,5,0.18,0.16,2,0.07,0.17,1,0.04,0.12,2,0.06,0.2,2,,,0,,,0,-0.05,0.12,2,-0.01,0.1,3,0.1,0.11,13,-0.04,0.12,12,0.08,0.13,22,0.05,0.16,5
8,"   HD82342",602,"thick",0.16,0.07,3,0.26,0.04,1,-0.36,0.04,1,-0.04,0.15,6,-0.12,0.07,2,0.25,0.09,1,-0.21,0.07,2,-0.06,0.13,2,0.41,0.08,1,0.5,0.07,1,0.24,0.04,2,0.27,0.15,3,0.54,0.09,13,-0.12,0.17,12,0.02,0.17,22,0.48,0.07,5
9," BD-091261",175," thin",0.03,0.12,3,-0.07,0.16,2,0.22,0.21,1,-0.06,0.17,6,0.26,0.17,2,0.25,0.17,1,-0.09,0.12,2,0.41,0.17,2,,,0,,,0,0.25,0.02,2,-0.04,0.1,3,0.08,0.15,13,0.14,0.09,12,0.29,0.12,22,0.14,0.2,5
10,"   HIP7058",86," thin",0.04,0.1,3,-0.03,0.08,2,0.14,0.22,1,-0.1,0.17,6,0.1,0.18,2,0.04,0.17,1,-0.14,0.13,2,-0.09,0.25,2,,,0,,,0,0.29,0.08,2,-0.06,0.14,3,0.1,0.05,14,0.02,0.17,12,0.11,0.11,22,0.08,0.13,5
11," BD-033746",85,"thick",-0.05,0.2,2,0.05,0.25,2,0.34,0.46,1,-0.07,0.27,5,0.37,0.37,2,0.49,0.29,1,-0.14,0.15,2,0.19,0.29,1,,,0,0.43,0.46,1,0.3,0.07,2,0.01,0.17,3,0.05,0.05,9,0.36,0.08,12,0.46,0.12,22,0.35,0.23,5
12," BD-213153",297," thin",-0.04,0.08,3,-0.15,0.08,2,0.11,0.22,1,0.08,0.18,6,0.16,0.18,2,0.08,0.16,1,0.0,0.07,2,0.26,0.16,2,,,0,0.02,0.18,1,0.02,0.06,2,0.08,0.12,3,0.06,0.09,12,-0.04,0.19,12,0.03,0.1,22,0.02,0.19,5
13,"  HD191285",231," thin",-0.07,0.14,3,-0.1,0.09,2,0.07,0.21,1,0.07,0.22,6,0.15,0.17,2,0.09,0.18,1,0.0,0.12,2,0.01,0.17,2,,,0,0.18,0.19,1,0.06,0.03,2,0.09,0.15,3,0.08,0.07,13,0.01,0.1,12,0.05,0.12,22,0.13,0.22,5
14," BD-053596",97," thin",-0.08,0.11,3,-0.07,0.08,2,0.14,0.22,1,0.03,0.18,6,0.27,0.17,2,0.26,0.17,1,0.03,0.13,2,0.12,0.22,2,,,0,,,0,0.22,0.07,2,-0.11,0.12,3,0.03,0.08,13,0.01,0.1,12,0.12,0.12,22,0.23,0.12,5
15," BD-064756",129," thin",0.01,0.09,3,-0.13,0.13,2,0.15,0.33,1,-0.04,0.16,4,0.21,0.24,2,0.03,0.21,1,0.01,0.13,2,-0.1,0.19,2,,,0,,,0,-0.03,0.01,2,-0.03,0.09,3,0.01,0.09,13,-0.02,0.16,12,0.07,0.11,22,0.06,0.25,5
16," BD-012505",186," thin",0.07,0.13,3,-0.03,0.13,2,0.07,0.32,1,0.0,0.19,6,0.1,0.22,2,-0.06,0.2,1,-0.15,0.13,2,-0.12,0.18,2,,,0,,,0,0.09,0.0,2,-0.06,0.1,3,0.16,0.09,13,-0.07,0.12,12,0.08,0.14,22,0.04,0.15,5
17,"    HD4838",137," thin",-0.12,0.11,3,-0.17,0.09,2,0.12,0.28,1,0.1,0.17,6,0.23,0.19,2,0.17,0.19,1,0.09,0.13,2,0.06,0.21,2,,,0,,,0,-0.06,0.02,2,-0.01,0.13,3,0.03,0.07,13,-0.04,0.14,12,0.03,0.09,22,0.08,0.19,5
18,"   HD93380",202," thin",0.07,0.1,3,-0.09,0.06,2,0.1,0.05,1,0.0,0.11,6,0.31,0.14,2,0.25,0.09,1,-0.05,0.08,2,-0.01,0.09,2,,,0,0.44,0.17,1,0.21,0.05,2,-0.02,0.09,3,0.21,0.17,11,0.08,0.14,12,0.24,0.15,22,0.22,0.17,5
19,"  HIP21934",213," thin",0.1,0.13,3,-0.07,0.13,2,0.12,0.43,1,-0.08,0.24,6,0.14,0.27,2,-0.1,0.25,1,-0.17,0.12,2,-0.12,0.27,2,,,0,0.07,0.23,1,0.19,0.11,2,-0.15,0.12,3,0.09,0.11,14,-0.08,0.11,12,0.05,0.13,22,0.03,0.16,5
20,"   HD30523",96," thin",-0.09,0.14,3,-0.12,0.12,2,0.08,0.3,1,0.02,0.16,6,0.26,0.2,2,0.07,0.2,1,0.0,0.13,2,-0.01,0.23,2,,,0,,,0,-0.04,0.02,2,-0.19,0.15,3,0.03,0.11,13,-0.15,0.11,12,0.02,0.11,22,0.05,0.14,5
21,"   HIP7743",88," thin",0.06,0.07,3,-0.03,0.11,2,0.14,0.21,1,-0.04,0.21,6,0.19,0.16,2,-0.12,0.16,1,-0.08,0.12,2,-0.14,0.14,2,,,0,,,0,0.09,0.03,2,-0.04,0.13,3,0.09,0.11,13,0.01,0.22,12,0.16,0.12,22,0.02,0.18,5
22," HIP116374",154," thin",-0.07,0.14,3,-0.15,0.14,2,0.15,0.42,1,-0.12,0.31,6,0.08,0.28,2,-0.12,0.25,1,-0.14,0.13,2,-0.17,0.22,2,,,0,,,0,0.12,0.03,2,-0.26,0.1,3,0.03,0.09,14,-0.04,0.1,12,0.06,0.12,22,-0.02,0.13,5
23," BD-145003",50," thin",0.0,0.15,3,-0.06,0.09,2,0.25,0.26,1,-0.21,0.25,5,0.22,0.2,2,0.3,0.18,1,-0.07,0.13,2,0.14,0.15,2,,,0,,,0,0.18,0.0,2,0.04,0.11,3,0.15,0.18,12,0.12,0.16,12,0.22,0.15,22,0.09,0.21,5
24,"  HD142709",336," thin",-0.04,0.12,3,-0.05,0.1,2,0.02,0.29,1,-0.16,0.17,6,0.04,0.23,2,-0.03,0.17,1,-0.13,0.13,2,-0.15,0.21,2,,,0,0.27,0.16,1,0.11,0.01,2,-0.03,0.17,2,0.07,0.09,13,-0.01,0.14,12,0.11,0.14,22,-0.03,0.13,5
25,"  HIP17346",231," thin",0.1,0.1,3,-0.05,0.08,2,0.09,0.28,1,-0.13,0.15,6,0.08,0.2,2,-0.03,0.19,1,-0.14,0.13,2,-0.2,0.18,2,,,0,0.2,0.17,1,0.13,0.02,2,-0.07,0.11,3,0.11,0.06,13,-0.04,0.12,12,0.09,0.13,21,0.01,0.15,5
26,"   HD11938",241," thin",0.05,0.12,3,0.0,0.11,2,0.02,0.29,1,-0.04,0.14,6,-0.11,0.21,2,-0.08,0.18,1,-0.12,0.13,2,-0.16,0.16,2,,,0,0.11,0.19,1,0.06,0.04,2,-0.1,0.08,3,0.13,0.07,12,-0.08,0.19,12,0.01,0.11,22,0.02,0.17,5
27,"  HD183783",141," thin",-0.04,0.11,3,-0.07,0.07,2,-0.08,0.21,1,-0.17,0.13,6,-0.03,0.17,2,0.06,0.15,1,-0.12,0.12,2,-0.11,0.16,2,,,0,,,0,-0.03,0.07,2,0.03,0.09,3,0.1,0.05,13,-0.05,0.14,12,0.03,0.13,22,0.27,0.15,5
28," BD-050484",69,"thick",0.03,0.12,3,0.02,0.14,2,0.22,0.21,1,-0.22,0.14,6,0.18,0.15,2,0.3,0.16,1,-0.11,0.11,2,0.28,0.14,2,,,0,,,0,0.26,0.02,2,0.22,0.2,3,0.11,0.04,14,0.13,0.12,12,0.29,0.13,22,0.25,0.12,5
29,"  HD219495",123," thin",0.04,0.31,3,-0.02,0.33,2,-0.1,0.84,1,0.05,0.47,6,-0.06,0.52,2,-0.1,0.5,1,0.01,0.47,2,-0.07,0.42,2,,,0,,,0,0.02,0.08,2,-0.3,0.21,3,0.05,0.1,14,-0.24,0.15,12,-0.03,0.14,22,0.07,0.09,5
30,"      HD55",384,"thick",0.08,0.14,3,0.0,0.14,2,0.01,0.19,1,-0.08,0.13,6,0.14,0.18,2,0.12,0.15,1,-0.06,0.11,2,0.0,0.15,2,,,0,0.39,0.15,1,0.17,0.03,2,0.12,0.07,3,0.21,0.08,12,0.1,0.13,12,0.2,0.14,22,0.2,0.07,5
31,"   HD21749",736," thin",0.06,0.14,3,-0.04,0.12,2,0.07,0.31,1,-0.01,0.2,6,0.08,0.22,2,-0.02,0.19,1,-0.14,0.12,2,-0.18,0.2,2,0.06,0.19,1,0.17,0.14,1,0.12,0.07,2,-0.11,0.1,3,0.03,0.08,14,-0.13,0.14,12,0.05,0.14,22,0.03,0.14,5
32,"  HD202389",181," thin",-0.04,0.14,3,-0.06,0.05,2,0.09,0.14,1,0.05,0.15,6,0.14,0.14,2,0.16,0.14,1,-0.05,0.07,2,-0.01,0.17,2,,,0,,,0,0.06,0.04,2,-0.09,0.12,3,0.09,0.08,13,-0.02,0.11,12,0.07,0.12,22,0.05,0.2,5
33,"  HIP36347",86," thin",0.07,0.06,3,-0.06,0.05,2,0.15,0.21,1,-0.11,0.14,6,0.08,0.17,2,0.21,0.16,1,-0.12,0.08,2,0.02,0.25,2,,,0,,,0,0.39,0.34,2,-0.11,0.08,3,0.04,0.12,14,-0.04,0.16,11,0.05,0.11,22,0.0,0.14,5
34,"  HD151692",100," thin",0.08,0.13,3,-0.02,0.13,2,0.06,0.35,1,-0.02,0.23,6,0.05,0.25,2,0.1,0.2,1,-0.12,0.16,2,-0.03,0.2,2,,,0,,,0,0.06,0.05,2,-0.04,0.09,3,0.08,0.05,14,-0.1,0.12,12,0.02,0.12,22,0.08,0.12,5
35,"   HD42505",66," thin",-0.06,0.11,3,-0.04,0.07,2,0.14,0.25,1,-0.02,0.15,6,0.17,0.19,2,0.21,0.16,1,-0.01,0.12,2,-0.22,0.18,2,,,0,,,0,0.03,0.01,2,-0.05,0.1,3,0.03,0.08,13,-0.01,0.16,12,0.07,0.12,22,0.04,0.21,5
36,"   HD36003",2001," high",0.09,0.14,3,-0.03,0.11,2,-0.03,0.27,1,-0.1,0.14,6,0.12,0.22,2,0.03,0.17,1,-0.15,0.11,2,-0.12,0.13,2,0.16,0.14,1,0.3,0.11,1,0.22,0.06,2,-0.02,0.12,3,0.11,0.08,14,-0.1,0.17,12,0.14,0.14,22,0.15,0.1,5
37,"  HD154387",132," thin",-0.02,0.14,3,-0.12,0.09,2,0.19,0.32,1,-0.06,0.15,6,0.2,0.18,2,0.05,0.22,1,-0.05,0.12,2,-0.08,0.21,2,,,0,,,0,0.16,0.05,2,-0.19,0.07,3,0.03,0.08,14,0.09,0.11,12,0.17,0.12,22,-0.01,0.16,5
38,"  HD211583",155," thin",0.14,0.14,3,0.02,0.13,2,0.09,0.37,1,-0.08,0.17,6,0.01,0.26,2,0.06,0.21,1,-0.15,0.15,2,-0.22,0.22,2,,,0,,,0,0.12,0.05,2,-0.07,0.11,3,0.13,0.1,14,-0.02,0.16,12,0.05,0.13,22,0.01,0.1,5
39," BD-130321",236," thin",0.1,0.12,3,-0.04,0.12,2,0.03,0.28,1,-0.13,0.17,6,0.01,0.2,2,-0.06,0.18,1,-0.15,0.12,2,-0.26,0.14,2,,,0,0.17,0.17,1,0.15,0.07,2,-0.11,0.1,3,0.12,0.1,14,-0.1,0.17,12,0.03,0.14,22,0.05,0.11,5
40,"  HD105671",170," thin",0.04,0.12,3,-0.06,0.12,2,-0.03,0.26,1,0.01,0.14,6,0.06,0.2,2,0.14,0.17,1,-0.1,0.14,2,0.0,0.2,2,,,0,,,0,0.03,0.09,2,-0.06,0.08,3,0.11,0.06,14,-0.14,0.14,12,-0.03,0.11,22,0.07,0.13,5
41,"  HD109368",81," thin",-0.06,0.08,3,-0.15,0.06,2,0.19,0.22,1,0.07,0.16,6,0.27,0.17,2,0.36,0.16,1,-0.01,0.13,2,0.0,0.2,2,,,0,,,0,0.02,0.02,2,0.05,0.11,3,-0.02,0.14,13,-0.01,0.14,12,0.08,0.1,22,0.08,0.17,5
42,"  HD132411",93," thin",0.01,0.06,3,-0.06,0.06,2,0.05,0.2,1,-0.04,0.15,6,0.13,0.15,2,0.28,0.15,1,-0.05,0.12,2,0.07,0.13,2,,,0,,,0,0.03,0.05,2,0.04,0.08,3,0.08,0.06,13,-0.03,0.11,12,0.04,0.12,22,0.11,0.18,5
43,"  HD154363",556,"thick",-0.01,0.18,3,-0.12,0.17,2,0.39,0.43,1,0.19,0.2,6,0.48,0.33,2,0.12,0.23,1,-0.18,0.17,2,0.01,0.22,1,,,0,0.47,0.2,1,0.47,0.03,2,0.16,0.11,3,0.14,0.15,14,0.39,0.12,12,0.51,0.18,22,0.13,0.11,5
44,"   HD16270",175," thin",0.04,0.12,3,0.01,0.11,2,0.01,0.3,1,0.12,0.17,6,-0.13,0.22,2,0.04,0.18,1,-0.05,0.14,2,-0.05,0.2,2,,,0,,,0,-0.05,0.06,2,-0.15,0.08,3,0.13,0.05,13,-0.17,0.12,12,-0.05,0.09,22,0.07,0.12,5
45," BD-053176",118," thin",0.05,0.15,3,-0.05,0.12,2,0.06,0.31,1,-0.09,0.19,6,0.07,0.23,2,0.08,0.18,1,-0.17,0.14,2,-0.12,0.21,2,,,0,,,0,0.12,0.07,2,-0.08,0.08,3,0.06,0.15,14,-0.11,0.16,12,0.07,0.13,22,0.02,0.21,5
46," BD-090872",67," thin",-0.09,0.08,3,-0.23,0.1,2,0.22,0.29,1,0.02,0.19,6,0.27,0.2,2,0.35,0.18,1,0.05,0.14,2,0.15,0.18,2,,,0,,,0,-0.08,0.12,2,-0.14,0.11,3,0.02,0.08,13,0.0,0.18,12,0.08,0.11,22,0.08,0.19,5
47,"   HD57568",101," thin",-0.03,0.08,3,-0.04,0.06,2,0.13,0.21,1,-0.09,0.1,6,0.05,0.18,2,0.2,0.13,1,-0.04,0.07,2,0.02,0.16,2,,,0,,,0,0.06,0.03,2,0.01,0.09,3,0.11,0.1,13,0.01,0.14,12,0.12,0.09,22,0.07,0.16,5
48,"  HD326267",97,"thick",0.1,0.04,3,0.01,0.05,2,0.27,0.22,1,-0.27,0.19,6,0.14,0.16,2,0.3,0.16,1,-0.19,0.14,2,0.0,0.15,2,,,0,,,0,0.35,0.01,2,0.19,0.17,3,0.08,0.06,14,0.17,0.12,12,0.3,0.16,22,0.07,0.09,5
49,"   HD73583",151," thin",-0.01,0.08,3,-0.17,0.06,2,0.24,0.2,1,0.09,0.14,6,0.22,0.14,2,0.12,0.14,1,0.04,0.07,2,0.09,0.17,2,,,0,,,0,0.04,0.04,2,-0.02,0.08,3,0.04,0.08,13,0.05,0.14,12,0.09,0.09,22,0.12,0.17,5
50,"   HD45977",230," thin",0.02,0.14,3,-0.1,0.11,2,0.1,0.31,1,0.06,0.19,6,0.12,0.23,2,0.09,0.19,1,-0.08,0.13,2,-0.17,0.2,2,,,0,0.08,0.16,1,0.02,0.05,2,-0.32,0.28,3,0.07,0.08,14,-0.06,0.13,12,0.04,0.13,22,0.0,0.11,5
51,"  HIP26542",183," thin",0.05,0.11,3,-0.02,0.11,2,0.1,0.19,1,-0.08,0.12,5,0.14,0.18,2,0.17,0.15,1,0.06,0.11,2,0.03,0.21,2,,,0,,,0,0.1,0.03,2,0.0,0.05,3,0.15,0.12,13,0.03,0.1,12,0.16,0.12,22,0.18,0.2,5
52,"  HD193406",141," thin",-0.05,0.08,3,-0.06,0.06,2,0.16,0.22,1,-0.03,0.13,6,0.26,0.19,2,0.09,0.14,1,0.02,0.08,2,0.03,0.25,2,,,0,,,0,0.12,0.04,2,0.02,0.09,3,0.07,0.09,13,0.07,0.1,12,0.17,0.12,22,0.01,0.12,5
53,"  HD199933",131," thin",-0.08,0.11,3,-0.21,0.08,2,0.06,0.22,1,0.14,0.13,6,0.09,0.17,2,0.15,0.15,1,0.11,0.12,2,0.24,0.13,2,,,0,,,0,-0.1,0.04,2,-0.06,0.06,3,0.05,0.06,14,-0.12,0.11,12,-0.02,0.1,22,0.02,0.09,5
54," BD-002387",76," thin",0.03,0.08,3,-0.06,0.07,2,0.05,0.31,1,-0.05,0.21,6,-0.09,0.21,2,-0.04,0.18,1,-0.08,0.13,2,-0.12,0.16,2,,,0,,,0,0.01,0.04,2,-0.26,0.18,3,0.09,0.06,14,-0.07,0.12,12,0.02,0.09,22,-0.01,0.11,5
55,"  HD21209A",262," thin",0.03,0.08,3,-0.05,0.05,2,0.19,0.19,1,-0.08,0.15,6,0.14,0.15,2,0.05,0.11,1,-0.05,0.12,2,0.05,0.09,2,,,0,0.25,0.15,1,0.15,0.04,2,0.11,0.16,3,0.09,0.05,13,0.03,0.11,12,0.17,0.12,22,0.04,0.11,5
56,"  HD101581",454," thin",0.01,0.12,3,-0.06,0.08,2,0.15,0.17,1,-0.06,0.12,5,0.22,0.15,2,0.14,0.14,1,0.0,0.12,2,0.1,0.16,2,,,0,0.29,0.12,1,0.16,0.03,2,0.04,0.06,3,0.11,0.06,13,0.09,0.11,12,0.22,0.12,22,0.31,0.11,5
57,"  HD168159",158," thin",-0.03,0.05,3,-0.1,0.05,2,0.15,0.15,1,0.05,0.14,6,0.09,0.16,2,0.13,0.11,1,0.07,0.07,2,0.32,0.1,2,,,0,,,0,-0.02,0.07,2,-0.08,0.07,3,0.12,0.07,14,-0.06,0.12,12,0.0,0.09,22,0.04,0.12,5
58,"  HD215722",47," thin",0.02,0.11,3,-0.15,0.05,2,0.24,0.22,1,-0.03,0.15,6,0.18,0.17,2,0.14,0.15,1,0.05,0.08,2,-0.07,0.17,2,,,0,,,0,0.01,0.01,2,-0.13,0.1,3,0.02,0.09,13,-0.07,0.17,12,0.07,0.11,21,-0.02,0.12,5
59,"  HD297396",395," thin",0.09,0.13,3,-0.05,0.12,2,0.1,0.31,1,-0.07,0.17,6,0.09,0.22,2,-0.01,0.19,1,-0.14,0.13,2,-0.16,0.18,2,,,0,0.2,0.16,1,0.15,0.08,2,-0.1,0.09,3,0.06,0.07,12,-0.08,0.13,12,0.07,0.15,22,0.03,0.1,5
60,"  HD191902",66," thin",0.01,0.04,3,-0.12,0.08,2,0.17,0.16,1,-0.02,0.12,5,0.06,0.12,2,0.31,0.14,1,0.03,0.06,2,0.06,0.08,2,,,0,,,0,0.2,0.14,2,-0.02,0.09,3,0.05,0.06,13,-0.03,0.1,12,0.08,0.13,22,0.12,0.09,5
61," BD-140184",43," thin",-0.05,0.06,3,-0.06,0.06,2,0.11,0.2,1,-0.03,0.14,5,0.17,0.16,2,0.37,0.15,1,0.16,0.09,2,0.21,0.14,1,,,0,,,0,0.21,0.21,2,0.18,0.04,3,-0.02,0.08,14,0.03,0.13,12,0.1,0.09,22,0.14,0.05,5
62,"  HD160836",94," thin",0.01,0.05,3,0.0,0.08,2,0.18,0.21,1,0.06,0.15,6,0.14,0.18,2,0.19,0.15,1,0.06,0.12,2,-0.05,0.1,2,,,0,,,0,-0.02,0.0,2,-0.08,0.1,3,0.09,0.06,14,-0.05,0.14,12,0.06,0.08,22,0.1,0.16,5
63,"   HD20492",192," thin",0.08,0.13,3,-0.07,0.12,2,0.04,0.48,1,-0.06,0.18,6,-0.04,0.34,2,0.02,0.23,1,-0.11,0.15,2,-0.06,0.22,2,,,0,,,0,-0.07,0.07,2,0.02,0.11,3,0.11,0.08,14,-0.11,0.12,12,0.01,0.09,22,0.04,0.1,5
64,"   HD52919",410," thin",0.04,0.13,3,-0.08,0.07,2,0.02,0.26,1,0.01,0.14,6,0.13,0.19,2,0.1,0.17,1,-0.04,0.12,2,0.04,0.19,2,,,0,0.2,0.13,1,0.02,0.03,2,-0.12,0.09,3,0.09,0.08,14,-0.12,0.1,12,0.05,0.14,22,0.17,0.1,5
65,"  HD137303",425," thin",0.04,0.11,3,-0.07,0.07,2,0.09,0.2,1,-0.09,0.13,6,0.11,0.18,2,0.04,0.12,1,-0.06,0.13,2,-0.04,0.14,2,,,0,0.22,0.12,1,0.11,0.04,2,-0.19,0.23,3,0.11,0.12,13,-0.02,0.1,12,0.16,0.11,22,0.05,0.11,5
66,"  HD125595",885," thin",0.11,0.07,3,-0.02,0.07,2,0.11,0.24,1,-0.07,0.13,6,-0.01,0.19,2,-0.02,0.16,1,-0.11,0.12,2,-0.28,0.11,2,-0.16,0.13,1,0.19,0.11,1,0.16,0.08,2,-0.03,0.13,3,0.09,0.07,13,-0.03,0.14,12,0.03,0.16,22,0.02,0.08,5
67," BD-064196",98," thin",-0.03,0.07,3,-0.09,0.05,2,0.15,0.17,1,0.09,0.13,6,0.04,0.16,2,0.05,0.12,1,-0.04,0.08,2,0.14,0.16,2,,,0,,,0,0.04,0.09,2,-0.08,0.05,3,0.07,0.11,14,-0.08,0.09,12,0.02,0.09,22,0.13,0.09,5
68,"   HD58489",120," high",0.09,0.12,3,0.12,0.14,2,0.05,0.3,1,-0.06,0.19,6,-0.11,0.22,2,0.17,0.18,1,-0.11,0.12,2,-0.15,0.17,2,,,0,,,0,0.11,0.04,2,0.1,0.08,3,0.13,0.09,14,0.0,0.07,12,0.04,0.1,21,0.01,0.1,5
69,"   HD96673",129," thin",0.03,0.09,3,-0.02,0.05,2,0.07,0.2,1,-0.1,0.13,6,-0.03,0.14,2,0.16,0.14,1,-0.09,0.12,2,-0.1,0.12,2,,,0,,,0,0.14,0.07,2,0.02,0.06,3,0.08,0.05,14,-0.05,0.12,12,0.06,0.08,22,0.1,0.15,5
70,"  HD209100",2023," thin",0.03,0.11,3,-0.09,0.06,2,0.01,0.19,1,0.0,0.13,6,0.06,0.17,2,0.11,0.14,1,-0.05,0.12,2,0.07,0.12,2,0.2,0.11,1,0.29,0.08,1,-0.01,0.0,2,0.05,0.1,3,0.08,0.08,13,-0.07,0.15,12,0.04,0.11,22,0.1,0.13,5
71," HIP102025",101," thin",-0.07,0.07,3,-0.09,0.05,2,0.2,0.16,1,0.06,0.13,6,0.18,0.11,2,0.19,0.11,1,0.05,0.08,2,0.14,0.11,2,,,0,,,0,0.12,0.15,2,0.0,0.06,3,0.03,0.06,13,0.03,0.11,12,0.09,0.11,22,0.03,0.12,5
72,"  HD117938",68," thin",-0.04,0.04,3,0.05,0.08,2,0.15,0.12,1,0.01,0.12,6,0.01,0.1,2,0.59,0.13,1,0.08,0.07,2,0.05,0.09,2,,,0,,,0,0.01,0.02,2,-0.18,0.08,3,0.05,0.05,14,0.01,0.13,12,0.06,0.1,22,0.03,0.06,5
73," HIP108216",85,"thick",0.11,0.07,3,-0.01,0.1,2,0.22,0.22,1,-0.13,0.21,6,0.28,0.16,2,0.33,0.16,1,-0.15,0.11,2,0.09,0.11,2,,,0,,,0,0.4,0.06,2,0.11,0.08,3,0.17,0.05,14,0.18,0.15,12,0.42,0.17,22,0.32,0.17,5
74,"   HD31560",281," thin",0.05,0.12,3,-0.06,0.12,2,0.04,0.22,1,0.0,0.15,6,0.05,0.18,2,0.09,0.16,1,-0.07,0.14,2,-0.08,0.2,2,,,0,0.16,0.14,1,0.04,0.04,2,-0.15,0.07,3,0.07,0.07,14,-0.07,0.14,12,0.04,0.1,22,0.04,0.13,5
75," BD-010184",71," thin",0.05,0.1,3,-0.02,0.04,2,0.26,0.19,1,-0.15,0.09,6,0.16,0.09,2,0.26,0.13,1,0.0,0.09,2,0.0,0.18,2,,,0,,,0,0.32,0.16,2,-0.01,0.07,3,0.09,0.06,14,0.05,0.15,11,0.19,0.11,22,0.14,0.09,5
76," BD-092670",68," thin",-0.01,0.12,3,0.0,0.07,2,0.11,0.15,1,0.01,0.17,6,-0.01,0.1,2,0.24,0.14,1,0.01,0.08,2,0.05,0.12,2,,,0,,,0,-0.02,0.04,2,-0.05,0.07,3,0.06,0.06,13,-0.04,0.14,12,0.06,0.12,22,-0.02,0.14,5
77,"  HD170493",263," thin",0.14,0.16,3,-0.01,0.12,2,0.08,0.38,1,-0.03,0.15,6,0.0,0.28,2,0.0,0.19,1,-0.12,0.14,2,-0.15,0.18,2,,,0,0.07,0.18,1,0.11,0.1,2,0.01,0.1,3,0.09,0.1,14,-0.15,0.12,12,0.01,0.14,22,0.02,0.05,5
78,"  HIP45301",85," thin",0.08,0.08,3,0.05,0.06,2,0.05,0.29,1,-0.05,0.18,6,0.02,0.19,2,0.08,0.15,1,-0.11,0.13,2,0.04,0.13,2,,,0,,,0,0.11,0.01,2,0.01,0.06,3,0.12,0.06,14,0.01,0.09,12,0.1,0.12,22,0.05,0.05,5
79,"  HD176535",175," thin",-0.03,0.12,3,-0.08,0.11,2,0.2,0.16,1,0.01,0.12,6,0.1,0.13,2,0.16,0.14,1,-0.02,0.12,2,0.03,0.16,2,,,0,,,0,-0.01,0.01,2,-0.02,0.08,3,0.07,0.07,14,-0.02,0.09,12,0.11,0.12,22,-0.03,0.09,5
